address,description,status,dns_name
10.69.20.1/22,,active,
10.69.20.50/22,,active,panda.ott.qa.tvvideoms.com
10.69.20.107/22,,active,mesos.ott.qa.tvvideoms.com
10.69.20.109/22,,active,gitlab-ci-1.ott.qa.tvvideoms.com
10.69.20.110/22,,active,gitlab-ci-2.ott.qa.tvvideoms.com
10.69.20.111/22,,active,gitlab-ci-3.ott.qa.tvvideoms.com
10.69.20.112/22,,active,gitlab-ci-4.ott.qa.tvvideoms.com
10.69.20.114/22,,active,gitlab-ci-9.ott.qa.tvvideoms.com
10.69.20.116/22,,active,gitlab-ci-5.ott.qa.tvvideoms.com
10.69.20.117/22,,active,gitlab-ci-6.ott.qa.tvvideoms.com
10.69.20.118/22,,active,gitlab-ci-7.ott.qa.tvvideoms.com
10.69.20.119/22,,active,gitlab-ci-8.ott.qa.tvvideoms.com
10.69.21.1/22,,active,
10.69.22.1/22,,active,
10.69.22.33/22,,active,
10.69.22.65/22,,active,
10.69.22.97/22,,active,
10.69.22.129/22,,active,
10.69.22.161/22,,active,
10.69.22.193/22,,active,
10.69.22.225/22,,active,
10.69.24.1/22,,active,
10.69.25.1/22,,active,
10.69.26.1/22,,active,
10.69.26.17/22,,active,
10.69.26.33/22,,active,
10.69.26.49/22,,active,
10.69.26.65/22,,active,
10.69.26.81/22,,active,
10.69.26.97/22,,active,
10.69.26.113/22,,active,
10.69.26.129/22,,active,
10.69.26.145/22,,active,
10.69.26.161/22,,active,
10.69.26.177/22,,active,
10.69.26.193/22,,active,
10.69.26.209/22,,active,
10.69.26.225/22,,active,
10.69.26.241/22,,active,
10.69.28.1/24,,active,
10.69.28.5/24,,active,db.po.qa.tvvideoms.com
10.69.28.10/24,,active,storage.po.qa.tvvideoms.com
10.69.28.15/24,,active,marinaapi.po.qa.tvvideoms.com
10.69.28.21/24,,active,mam1.po.qa.tvvideoms.com
10.69.28.22/24,,active,mam2.po.qa.tvvideoms.com
10.69.28.30/24,,active,supervision.po.qa.tvvideoms.com
10.69.29.1/24,,active,
10.69.29.5/24,,active,mssql.vms.qa.tvvideoms.com
10.69.29.10/24,,active,storage.vms.qa.tvvideoms.com
10.69.29.11/24,,active,emailsenderservice.vms.qa.tvvideoms.com
10.69.29.12/24,,active,iis2.vms.qa.tvvideoms.com
