vlan.vid,prefix,vlan_group,status,description,is_pool
2001,fd13:6d20:29dc:cf27::/64,TDF,active,Private subnet 1,True
,10.0.0.0/8,,active,CJI,True
,10.69.0.0/16,,active,QA,True
,10.69.0.0/18,,active,POP1,True
,10.69.0.0/22,,active,ADM Environment,True
,10.69.4.0/22,,active,LAB Environment,True
,10.69.8.0/22,,active,CDN Environment,True
,10.69.12.0/22,,active,C4M Environment,True
,10.69.16.0/22,,active,VP Environment,True
,10.69.20.0/22,,active,OTT Environment,True
,10.69.24.0/22,,active,CUS Environment,True
,10.69.28.0/24,,active,INFRA Services,True
,10.69.29.0/24,,active,INFRA CI,True
,10.69.32.0/24,,active,COMMON,True
,10.159.0.0/16,,active,,True
,10.159.1.0/24,,active,,True
,10.159.4.0/24,,active,,True
,10.159.0.0/24,,active,,True
,10.159.2.0/24,,active,,True
,10.159.3.0/24,,active,,True
,10.56.0.0/16,,active,IPTV Admin,True
,10.56.0.0/24,,active,,True
,10.56.1.0/24,,active,BeIN ITX2,True
,10.56.2.0/24,,active,BeIN RMV,True
,10.56.3.0/24,,active,CJI PARIS,True
56,10.56.4.0/24,TDF,active,,True
,10.56.5.0/24,,active,CJI PARIS Completel,True
,10.56.6.0/24,,active,VM IPTV,True
,10.56.7.0/24,,active,,True
,10.56.8.0/24,,active,ADMIN_MOLOTOV_IVRY (VLAN 4056),True
,10.56.9.0/24,,active,IPTV_ADMIN_PRA_RMV (vlan 1857),True
,10.56.10.0/24,,active,IPPLAY MAIN,True
,10.56.11.0/24,,active,IPPLAY SOURCE,True
,10.56.12.0/24,,active,SPV - MONITORING ( POC ),True
,10.56.13.0/24,,active,,True
,10.56.100.0/24,,active,loopback_Nokia,True
,10.56.200.0/24,,active,,True
,10.56.255.0/24,,active,Network intercos,True
,239.0.0.0/8,,active,Multicast network,True
,239.20.20.0/24,,active,mcast_projet_EntryLevel_Arkena,True
,10.37.0.0/16,,active,C4M Transform & BPM,True
,95.81.145.96/27,,active,FE-48,True
,10.37.64.0/18,,active,BPM instances,True
,10.37.127.0/24,,active,BPM / interco routers & sw,True
,10.37.64.0/24,,active,BPM Interco,True
,10.103.0.0/16,,active,C4M RxTx VRF,True
,10.103.1.0/26,,active,RXTX_VRFRXTX_ITX2 - vlan 2885 (2nd range),True
,10.103.1.64/26,,active,RXTX_VRFRXTX_RMV-2 - vlan 2992 (2nd range),True
,10.29.0.0/16,,active,Playgrounds,True
,10.29.0.0/20,,active,Playground RMV,True
,10.37.101.0/24,,active,BPM Harmony COMMON PROD instances,True
,10.159.5.0/24,,active,,True
,172.16.0.0/12,,active,,True
3000,172.16.0.0/24,TDF,active,,True
3556,172.24.56.0/24,TDF,active,,True
2894,10.28.41.0/24,TDF,active,zixi_priv,True
,10.250.0.0/16,,active,,True
,10.250.1.0/24,,active,FTP,True
,10.201.42.0/24,,active,OFFICE-CJI-PRINTERS,True
,10.201.40.0/23,,active,OFFICE-CJI-GUESTS,True
,10.201.32.0/21,,active,OFFICE-CJI-USERS,True
3081,172.16.81.0/24,TDF,active,prod-tv-radio,True
3035,172.16.35.0/24,TDF,active,Zone dmz-veda-3035 VPLS 203133,True
2035,10.20.35.0/24,TDF,active,supervision_mcl,True
60,10.100.60.0/24,TDF,active,dmz_www_out,True
161,10.100.161.0/24,TDF,active,VMS PreProd - Internal - CJI,True
,10.37.0.0/18,,active,C4M Transform,True
,10.37.34.0/24,,active,10.37.34.0/24,True
,95.81.173.128/27,,active,SHA-ITX2-2,True
,10.37.20.0/25,,active,STORAGE_NAS_RMV - vlan2890 - nas-rmv.store - RMV,True
,10.37.6.0/24,,active,DB_COMMON,True
,10.60.0.0/16,,active,Origin,True
,10.60.1.0/24,,active,Internal Origin RMV,True
,10.37.202.0/24,,active,ATEME_DRIVERS_PREPROD - vlan351 - preprod.drivers.c4m - ITX,True
,10.37.7.0/25,,active,DMZ_MEDIA - vlan2099 - - RMV,True
2707,10.37.18.0/25,TDF,active,CLIENT_COMMON_STORE,True
3,10.180.103.0/24,TDF,active,,True
,10.32.0.0/16,,active,C4M EU pop,True
,10.32.2.0/24,,active,edata.fr.c4m @itx2 ( vlan 322 ),True
,10.32.0.0/24,,active,main.fr.c4m @itx2 ( vlan 320 ),True
