vid,description,name,status,group
2001,IPv6 private 1 subnets,IPv6 private 1-2001,active,TDF
4001,DMZ public,Servers DMZ-4001,active,TDF
2885,,2885-2885,active,TDF
2892,,PRA_FMM-C4M-STOCKAGE-2892,active,TDF
2099,,DMZ_MEDIA-2099,active,TDF
623,,PDU-623,active,TDF
1506,,1506-1506,active,TDF
2439,,2439-2439,active,TDF
2444,,STORAGE LCP RMV-2444,active,TDF
2442,,AUTOMATION LCP RMV -2442,active,TDF
2447,,INTERNE LCP RMV-2447,active,TDF
2448,,MCAST-ARKENA-HIPTV-2448,active,TDF
3009,,MANAGEMENT_HYPERVISEUR-3009,active,TDF
3010,,ISCSCI_1 dHCI-3010,active,TDF
3011,,ISCSCI_2 dHCI-3011,active,TDF
2707,,2707-2707,active,TDF
2879,,2879-2879,active,TDF
2893,,2893-2893,active,TDF
3170,,3170-3170,active,TDF
2802,,KARAJAN_PREPROD_INTERNAL-2802,active,TDF
351,,ATEME_DRIVERS_PREPROD-351,active,TDF
3019,,Mcast Issy LCP-3019,active,TDF
3017,,STORAGE VIACOM RMV-3017,active,TDF
3016,,AUTOMATION VIACOM RMV-3016,active,TDF
3018,,MULTICAST VIACOM RMV-3018,active,TDF
3208,,Automation - PRA Gulli RMV-ITX2-3208,active,TDF
3207,,Mcast PRA Gulli RMV-ITX2-3207,active,TDF
3209,,Stockage PRA Gulli RMV-ITX2-3209,active,TDF
3212,,Admin  PRA Gulli RMV-ITX2-3212,active,TDF
3148,,LAG DATA RMV-3148,active,TDF
2169,,M6 AUTOMATIONS MCAST RMV-2169,active,TDF
2115,,M6 ORCA ATEME ENCODEURS MCAST2-2115,active,TDF
2122,,M6 ORCA ATEME ENCODEURS MCAST2-2122,active,TDF
3147,,LAG MANAGEMENT-3147,active,TDF
2171,,LAG POG-2171,active,TDF
18,,NETADM-18,active,TDF
3,proxmox & dmz-smtp,smtp.cji.fr est dedans-3,active,TDF
45,,CJI Wifi Arkena-45,active,TDF
46,,CJI Wifi Arkena Guest-46,active,TDF
60,proxmox,dmz_www_out-60,active,TDF
80,proxmox,dmz_www_in-80,active,TDF
83,,83-83,active,TDF
2685,,BRANE ADMIN_GLOBAL-2685,active,TDF
2890,,BRANE STORAGE_NAS_RMV-2890,active,TDF
3000,,MAM ?-3000,active,TDF
3807,,PRA_OCS_GLUE-3807,active,TDF
3804,,PRA_OCS_API-3804,active,TDF
3803,,PRA_OCS_DATA-3803,active,TDF
3127,,PRA_OCS_MCAST-3127,active,TDF
3204,,PRA_OCS_DATA-3204,active,TDF
3205,,PRA_OCS_API-3205,active,TDF
3206,,PRA_OCS_GLUE-3206,active,TDF
2433,,RMV-ENCODAGE-2433,active,TDF
615,,admin encodage-615,active,TDF
16,,ISSY USER-16,active,TDF
20,,ISSY WIFI USER-20,active,TDF
23,,ISSY-MGMT-23,active,TDF
221,,OFFICE-ISSY-SEESTEMS-221,active,TDF
223,,OFFICE-ISSY-CAMERA-223,active,TDF
153,proxmox,DMZ-ADMIN-153,active,TDF
160,proxmox,DMZ-DMC-CORE-160,active,TDF
164,proxmox,dmz_qualif-164,active,TDF
1010,proxmox,cji_lan-1010,active,TDF
2056,proxmox,admin remote desktop(admin-free)-2056,active,TDF
3003,proxmox,DCM-PROD-3003,active,TDF
3005,proxmox,admin_proxmox-3005,active,TDF
3117,proxmox,QUALIF2-DCM-3117,active,TDF
3125,proxmox,prod-mutualise-3125,active,TDF
3128,,SUPERVISION-MCL3-3128,active,TDF
3130,,MEDIA_MCL3-3130,active,TDF
3131,,AUTOMATION-MCL3-3131,active,TDF
3132,,HABILLAGE_MCL3-3132,active,TDF
3141,,EXPLOITATION_MCL3-3141,active,TDF
3060,proxmox,diffusion multicast-3060,active,TDF
3553,proxmox,LCP PROXMOX-3553,active,TDF
225,,OFFICE-ISSY-REGIE-SNL-225,active,TDF
1792,,ADMIN_COMMON_BRANE-1792,active,TDF
227,,OFFICE-ISSY-MAM-227,active,TDF
622,,ADMIN RMV 622-622,active,TDF
3013,,Mcast Issy MTH-3013,active,TDF
3014,, Intercom AES67 -ISSY-3014,active,TDF
3195,Data TVIPS,JPEG2000-3195,active,TDF
3012,,Mcast Issy MCL-3012,active,TDF
3006,,Rebond Issy LCP-3006,active,TDF
3558,,Media Orange Verif-3558,active,TDF
284,,RXTX_sj-cji-fr-284,active,TDF
3106,,3106-3106,active,TDF
3172,,3172-3172,active,TDF
3171,,TRANSFERT 3171-3171,active,TDF
3173,,3173-3173,active,TDF
3169,,CLIENT 3169-3169,active,TDF
3122,,3122-3122,active,TDF
3143,,3143-3143,active,TDF
3107,,3107-3107,active,TDF
2878,,SNL_STORAGE-2878,active,TDF
229,OFFICE-ISSY-DRCanal,OFFICE-ISSY-DRCanal-229,active,TDF
21,,OFFICE-ISSY-WIFI_GUEST-21,active,TDF
3031,RebondMCL,RebondMCL-3031,active,TDF
2767,,MGMT GLOBAL-2767,active,TDF
2020,,LCPAN-TVIPS-ADMIN-2020,active,TDF
29,,29-29,active,TDF
161,,VMS PREPROD 161-161,active,TDF
2021,,RxTx Assemblée N-2021,active,TDF
3020,,prod-lcp-3020,active,TDF
3021,,prod-ps-3021,active,TDF
2007,,natgeocore_admin-2007,active,TDF
3007,,halo_1_out-3007,active,TDF
3043,,PIGE_ANYWHERE-3043,active,TDF
2032,,ADMIN-IRD-PEIRRERE-2032,active,TDF
3033,,FOX-3033,active,TDF
4016,,INTERCO_ro-rmv_FW-STRMSHLD-4016,active,TDF
2160,,pbdc_admin-2160,active,TDF
3160,,PBDC_PROD-3160,active,TDF
3133,,ARCHIVE_CMD_MCL3-3133,active,TDF
3135,,PARALLELE_ANTENNE_MCL3-3135,active,TDF
3136,,CLIENT_MULTICAST_MCL3-3136,active,TDF
3137,,PXE_REPOSITORY-3137,active,TDF
3138,,QUALIF_AUTOMATION_MCL3-3138,active,TDF
3139,,QUALIF_MEDIA_MCL3-3139,active,TDF
3175,,PDU_MTH-3175,active,TDF
3176,,KVM_MTH-3176,active,TDF
3177,,GPI_MTH-3177,active,TDF
3556,,Dalet-3556,active,TDF
3559,,Omneon Orange Verif-3559,active,TDF
3560,,VM ILO HP Orange Verif-3560,active,TDF
44,,OFFICE-CJI-PRINT-44,active,TDF
47,,OFFICE_CJI_LIMITED-47,active,TDF
82,,dmz_byges_occult-82,active,TDF
84,,dmz_ftp_in-84,active,TDF
96,,area0-p2p-srx-ospfc1-96,active,TDF
97,,area0-p2p-srx-ospfc2-97,active,TDF
100,,ospf_mcl1-100,active,TDF
104,,prod-ancien-diff-104,active,TDF
108,,platformes_Disney-108,active,TDF
150,,150-150,active,TDF
155,,VM_DEV_CJI-155,active,TDF
168,,DMZ_ONDULEURS-168,active,TDF
260,,CJI-IVR-125-mcst-1|2_to_RMV-260,active,TDF
261,,intx_mcast_rmv_cji-261,active,TDF
275,,admin-rambouillet-275,active,TDF
283,,RXTX_LIVRAISON_SJ-283,active,TDF
405,,canalplus_tsgenesis.smj-405,active,TDF
413,,RADIOFRANCE_BKP_CJI-413,active,TDF
436,,interco_bytel-436,active,TDF
507,,internet_cji-507,active,TDF
563,,admin-iptv_cji_paris-563,active,TDF
565,,admin-iptv_cji_bis-565,active,TDF
682,,nxtRadio_netgear_srx-682,active,TDF
752,,VIACOM-752,active,TDF
764,,TDF_MOSAIQUE-764,active,TDF
772,,THEMA_MCAST-772,active,TDF
797,,n23.smj-797,active,TDF
799,,Webradio_Lagardere-799,active,TDF
990,,OSPF_BB-990,active,TDF
1002,,fddi-default-1002,active,TDF
1003,,token-ring-default-1003,active,TDF
1004,,fddinet-default-1004,active,TDF
1005,,trnet-default-1005,active,TDF
1011,,admin-mcl-1011,active,TDF
1474,,Interco_C+_SNL_CJI-1474,active,TDF
1477,,intrc_C+SNL_CJI_Bkup-1477,active,TDF
1856,,IPTVADM-1856,active,TDF
1858,,MAM-1858,active,TDF
1862,,SRX_VRF_TEST-1862,active,TDF
1960,,SW-ITX2-C4-1_MCAST-1-1960,active,TDF
1966,,intx_l3_disney_cji-1966,active,TDF
1976,,intx_l3_mcast_6_0-1976,active,TDF
1979,,intx_mcast_srx-1979,active,TDF
1980,,cpe-itx2-1_mcast-1-1980,active,TDF
1982,,cpe-th2-old_mcast-1-1982,active,TDF
1988,,MCAST_CONTRIB-TH2-1_CJI-MCAST-1-1988,active,TDF
1989,,MCAST_CONTRIB-TH2-2_CJI-MCAST-1-1989,active,TDF
1994,,MCAST-CJI-1_IVR-1-1994,active,TDF
1996,,MCAST-CJI-2_IVR-2-1996,active,TDF
2000,,BUREAUTIQUE_SJ-2000,active,TDF
2009,,RXTX_of_RMV-2009,active,TDF
2035,,supervision_mcl-2035,active,TDF
2036,,supervision_controle-2036,active,TDF
2039,,new-admin-mcl-2039,active,TDF
2047,,admin_bytelhd_cji-2047,active,TDF
2061,,admin-mosa-bt-2061,active,TDF
2062,,admin_retour-2062,active,TDF
2093,,admin-veda2-2093,active,TDF
2100,,admin_switch-2100,active,TDF
2129,,GRILL_MCL3-2129,active,TDF
2154,,admin_LCTVI-2154,active,TDF
2155,,admin_PF_test_transco_rennes-2155,active,TDF
2510,,C.Regie_MCL3-2510,active,TDF
2521,,admin_ocs-2521,active,TDF
2524,,admin-bt-v2-2524,active,TDF
2528,,admin-encodage-mut-2528,active,TDF
2538,,admin-c+webtv-2538,active,TDF
2542,,admin_c+_cap-2542,active,TDF
2580,,admin_cfi-2580,active,TDF
2581,,admin_quadrille-2581,active,TDF
2594,,admin-rfo-2594,active,TDF
2810,,INTERCO_LAGAR_DEMAT-2810,active,TDF
2816,,livraison_mcast_lagardere-2816,active,TDF
2817,,Webradio_lag_tempo-2817,active,TDF
3008,,Africabox-3008,active,TDF
3024,,demaintv-3024,active,TDF
3025,,prod-canal-antenne-3025,active,TDF
3026,,prod-francetv-3026,active,TDF
3027,,prod-adstream-3027,active,TDF
3032,,FLUX-IRD-PEIRRERE-3032,active,TDF
3034,,vivolta-3034,active,TDF
3035,,MCL-3035,active,TDF
3040,,ordres-vivolta-3040,active,TDF
3041,,vivolta_3041_BUIDNET_109-3041,active,TDF
3062,,mcast_retour-3062,active,TDF
3081,,prod-tv-radio-3081,active,TDF
3088,,sgt-3088,active,TDF
3089,,intellinq-3089,active,TDF
3091,,insight-3091,active,TDF
3090,,harris-3090,active,TDF
3093,,NEW-SGT-3093,active,TDF
3114,,CNALA+_SNL-3114,active,TDF
3124,,prod-evenementiel-3124,active,TDF
3154,,LCTVI-3154,active,TDF
3155,,PF_test_transco_rennes-3155,active,TDF
3210,,PROD_ENTRY_LEVEL-3210,active,TDF
3211,,ADMIN-MAINTENANCE-3211,active,TDF
3203,,Mcast_PRA_OCS-3203,active,TDF
2893,,SNL_FW_OUT_PROV-2893,active,TDF
788,,GLOBECAST - TX-788,active,TDF
516,,ARQIVA - TX-516,active,TDF
808,,TELECLUB TX-808,active,TDF
809,,TELECLUB TX-809,active,TDF
2423,,Amazon via MX1 - TX Main-2423,active,TDF
2424,,Amazon via MX1 - TX Backup-2424,active,TDF
753,,MOLOTOV - TX 700Mbps-753,active,TDF
3100,,LGD COGNACQ-3100,active,TDF
2796,Multicast Viacom Brane,Multicast Viacom-2796,active,TDF
3023,,RMV-ADMIN-PDU-3023,active,TDF
3809,,PRA_FTV_BDCAST-3809,active,TDF
3631,Interco SIP Riedel CJI - C+ Lumière,Riedel Issy - C+ Lumière-3631,active,TDF
3058,,MAM 3058-3058,active,TDF
1758,,MAM 1758-1758,active,TDF
669,,QA-669,active,TDF
56,,56-56,active,TDF
2894,,zixi_priv-2894,active,TDF
2840,,DCM Main-2840,active,TDF
3903,,PRA_FMM_ARKENA-3903,active,TDF
3637,VLAN SRT Aviwest ,VLAN SRT-3637,active,TDF
2454,,NDI TX MOSA LCP / CNEWS-2454,active,TDF
104,Alterpop,Alterpop-104,active,ZZ_contrib TDF
106,MX1 Fashion One - RX,MX1_Fashion_One_-_RX-106,active,ZZ_contrib TDF
107,Netgem Reunicable - TX,Netgem_Reunicable_-_TX-107,active,ZZ_contrib TDF
108,Mediactive - TX,Mediactive_-_TX-108,active,ZZ_contrib TDF
210,TMS - Alsace 20 MAIN - RX,TMS_-_Alsace_20_MAIN_-_RX-210,active,ZZ_contrib TDF
215,TMS - TV 7 Bordeaux - RX,TMS_-_TV_7_Bordeaux_-_RX-215,active,ZZ_contrib TDF
216,TMS - Canal 32 - RX,TMS_-_Canal_32_-_RX-216,active,ZZ_contrib TDF
221,TMS - Vosges Television - RX,TMS_-_Vosges_Television_-_RX-221,active,ZZ_contrib TDF
222,TS Pro Main - RX,TS_Pro_Main_-_RX-222,active,ZZ_contrib TDF
226,TMS - Mirabelle TV - RX,TMS_-_Mirabelle_TV_-_RX-226,active,ZZ_contrib TDF
228,TS Pro BU - RX,TS_Pro_BU_-_RX-228,active,ZZ_contrib TDF
229,TMS - Alsace 20 BACKUP - RX,TMS_-_Alsace_20_BACKUP_-_RX-229,active,ZZ_contrib TDF
235,TMS - AZUR Provence - RX,TMS_-_AZUR_Provence_-_RX-235,active,ZZ_contrib TDF
236,TMS - AZUR Var - RX,TMS_-_AZUR_Var_-_RX-236,active,ZZ_contrib TDF
237,TMS - AZUR TV - RX,TMS_-_AZUR_TV_-_RX-237,active,ZZ_contrib TDF
238,TMS - TL7 HD - RX,TMS_-_TL7_HD_-_RX-238,active,ZZ_contrib TDF
241,TMS - TVPI,TMS_-_TVPI-241,active,ZZ_contrib TDF
242,TMS - R4,TMS_-_R4-242,active,ZZ_contrib TDF
243,TMS - R7,TMS_-_R7-243,active,ZZ_contrib TDF
245,Roland Garros,Roland_Garros-245,active,ZZ_contrib TDF
316,ARQIVA - TX,ARQIVA_-_TX-316,active,ZZ_contrib TDF
317,ARQIVA - TX,ARQIVA_-_TX-317,active,ZZ_contrib TDF
321,TMS - Services FranceTV,TMS_-_Services_FranceTV-321,active,ZZ_contrib TDF
