vid,description,group,status,name
1,IPv6 private 1 subnets,TDF,active,IPv6 private 1
2,DMZ public,TDF,active,Servers DMZ
3,,TDF,active,2885
4,,TDF,active,PRA_FMM-C4M-STOCKAGE
5,,TDF,active,DMZ_MEDIA
6,,TDF,active,PDU
7,,TDF,active,1506
8,,TDF,active,2439
9,,TDF,active,STORAGE LCP RMV
10,,TDF,active,AUTOMATION LCP RMV 
11,,TDF,active,INTERNE LCP RMV
12,,TDF,active,MCAST-ARKENA-HIPTV
13,,TDF,active,MANAGEMENT_HYPERVISEUR
14,,TDF,active,ISCSCI_1 dHCI
15,,TDF,active,ISCSCI_2 dHCI
16,,TDF,active,2707
18,,TDF,active,2879
19,,TDF,active,2893
21,,TDF,active,3170
22,,TDF,active,KARAJAN_PREPROD_INTERNAL
23,,TDF,active,ATEME_DRIVERS_PREPROD
24,,TDF,active,Mcast Issy LCP
25,,TDF,active,STORAGE VIACOM RMV
26,,TDF,active,AUTOMATION VIACOM RMV
27,,TDF,active,MULTICAST VIACOM RMV
28,,TDF,active,Automation - PRA Gulli RMV-ITX2
29,,TDF,active,Mcast PRA Gulli RMV-ITX2
30,,TDF,active,Stockage PRA Gulli RMV-ITX2
31,,TDF,active,Admin  PRA Gulli RMV-ITX2
32,,TDF,active,LAG DATA RMV
33,,TDF,active,M6 AUTOMATIONS MCAST RMV
34,,TDF,active,M6 ORCA ATEME ENCODEURS MCAST2
35,,TDF,active,M6 ORCA ATEME ENCODEURS MCAST2
36,,TDF,active,LAG MANAGEMENT
37,,TDF,active,LAG POG
38,,TDF,active,NETADM
39,proxmox & dmz-smtp,TDF,active,smtp.cji.fr est dedans
40,,TDF,active,CJI Wifi Arkena
41,,TDF,active,CJI Wifi Arkena Guest
42,proxmox,TDF,active,dmz_www_out
43,proxmox,TDF,active,dmz_www_in
44,,TDF,active,83
45,,TDF,active,BRANE ADMIN_GLOBAL
46,,TDF,active,BRANE STORAGE_NAS_RMV
47,,TDF,active,MAM ?
48,,TDF,active,PRA_OCS_GLUE
49,,TDF,active,PRA_OCS_API
50,,TDF,active,PRA_OCS_DATA
51,,TDF,active,PRA_OCS_MCAST
53,,TDF,active,PRA_OCS_DATA
54,,TDF,active,PRA_OCS_API
55,,TDF,active,PRA_OCS_GLUE
56,,TDF,active,RMV-ENCODAGE
57,,TDF,active,admin encodage
58,,TDF,active,ISSY USER
59,,TDF,active,ISSY WIFI USER
60,,TDF,active,ISSY-MGMT
61,,TDF,active,OFFICE-ISSY-SEESTEMS
62,,TDF,active,OFFICE-ISSY-CAMERA
63,proxmox,TDF,active,DMZ-ADMIN
64,proxmox,TDF,active,DMZ-DMC-CORE
65,proxmox,TDF,active,dmz_qualif
66,proxmox,TDF,active,cji_lan
67,proxmox,TDF,active,admin remote desktop(admin-free)
68,proxmox,TDF,active,DCM-PROD
69,proxmox,TDF,active,admin_proxmox
70,proxmox,TDF,active,QUALIF2-DCM
71,proxmox,TDF,active,prod-mutualise
72,,TDF,active,SUPERVISION-MCL3
73,,TDF,active,MEDIA_MCL3
74,,TDF,active,AUTOMATION-MCL3
75,,TDF,active,HABILLAGE_MCL3
77,,TDF,active,EXPLOITATION_MCL3
78,proxmox,TDF,active,diffusion multicast
79,proxmox,TDF,active,LCP PROXMOX
80,,TDF,active,OFFICE-ISSY-REGIE-SNL
81,,TDF,active,ADMIN_COMMON_BRANE
82,,TDF,active,OFFICE-ISSY-MAM
83,,TDF,active,ADMIN RMV 622
84,,TDF,active,Mcast Issy MTH
85,,TDF,active, Intercom AES67 -ISSY
86,Data TVIPS,TDF,active,JPEG2000
87,,TDF,active,Mcast Issy MCL
89,,TDF,active,Rebond Issy LCP
90,,TDF,active,Media Orange Verif
91,,TDF,active,RXTX_sj-cji-fr
92,,TDF,active,3106
93,,TDF,active,3172
94,,TDF,active,TRANSFERT 3171
95,,TDF,active,3173
96,,TDF,active,CLIENT 3169
98,,TDF,active,3122
99,,TDF,active,3143
100,,TDF,active,3107
101,,TDF,active,SNL_STORAGE
102,OFFICE-ISSY-DRCanal,TDF,active,OFFICE-ISSY-DRCanal
103,,TDF,active,OFFICE-ISSY-WIFI_GUEST
104,RebondMCL,TDF,active,RebondMCL
105,,TDF,active,MGMT GLOBAL
106,,TDF,active,LCPAN-TVIPS-ADMIN
107,,TDF,active,29
108,,TDF,active,VMS PREPROD 161
109,,TDF,active,RxTx Assemblée N
110,,TDF,active,prod-lcp
111,,TDF,active,prod-ps
112,,TDF,active,natgeocore_admin
113,,TDF,active,halo_1_out
114,,TDF,active,PIGE_ANYWHERE
115,,TDF,active,ADMIN-IRD-PEIRRERE
116,,TDF,active,FOX
117,,TDF,active,INTERCO_ro-rmv_FW-STRMSHLD
118,,TDF,active,pbdc_admin
119,,TDF,active,PBDC_PROD
120,,TDF,active,ARCHIVE_CMD_MCL3
121,,TDF,active,PARALLELE_ANTENNE_MCL3
122,,TDF,active,CLIENT_MULTICAST_MCL3
123,,TDF,active,PXE_REPOSITORY
124,,TDF,active,QUALIF_AUTOMATION_MCL3
